accession,organism,taxon
AWSE01000051.1,Actinomyces johnsonii F0542,1321818
AWSF01000166.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSG01000303.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSF01000167.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000052.1,Actinomyces johnsonii F0542,1321818
AWSG01000304.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSF01000168.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSG01000305.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSE01000053.1,Actinomyces johnsonii F0542,1321818
AWSF01000169.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSG01000306.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSE01000054.1,Actinomyces johnsonii F0542,1321818
AWSF01000170.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSG01000307.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSE01000055.1,Actinomyces johnsonii F0542,1321818
AWSF01000171.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSG01000308.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSE01000056.1,Actinomyces johnsonii F0542,1321818
AWSF01000172.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSG01000309.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSE01000057.1,Actinomyces johnsonii F0542,1321818
AWSF01000173.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSG01000310.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSE01000058.1,Actinomyces johnsonii F0542,1321818
AWSF01000174.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSG01000311.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSE01000059.1,Actinomyces johnsonii F0542,1321818
AWSF01000175.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSG01000312.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSE01000060.1,Actinomyces johnsonii F0542,1321818
AWSF01000176.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSG01000313.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSE01000061.1,Actinomyces johnsonii F0542,1321818
AWSG01000314.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSF01000177.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000062.1,Actinomyces johnsonii F0542,1321818
AWSG01000315.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSF01000178.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSG01000316.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSE01000063.1,Actinomyces johnsonii F0542,1321818
AWSF01000179.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSG01000317.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSE01000064.1,Actinomyces johnsonii F0542,1321818
AWSF01000180.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSG01000318.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSE01000065.1,Actinomyces johnsonii F0542,1321818
AWSF01000181.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSG01000319.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSF01000182.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000066.1,Actinomyces johnsonii F0542,1321818
AWSG01000320.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSF01000183.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSG01000321.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSE01000067.1,Actinomyces johnsonii F0542,1321818
AWSF01000184.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSG01000322.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSE01000068.1,Actinomyces johnsonii F0542,1321818
AWSG01000323.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSF01000185.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSG01000324.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSE01000069.1,Actinomyces johnsonii F0542,1321818
AWSF01000186.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSG01000325.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSE01000070.1,Actinomyces johnsonii F0542,1321818
AWSF01000187.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSG01000326.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSE01000071.1,Actinomyces johnsonii F0542,1321818
AWSF01000188.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSG01000327.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSE01000072.1,Actinomyces johnsonii F0542,1321818
AWSF01000189.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSG01000328.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSE01000073.1,Actinomyces johnsonii F0542,1321818
AWSF01000190.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSG01000329.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSE01000074.1,Actinomyces johnsonii F0542,1321818
AWSF01000191.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSG01000330.1,Actinomyces sp. oral taxon 877 str. F0543,1227264
AWSF01000192.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000075.1,Actinomyces johnsonii F0542,1321818
AWSF01000193.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000076.1,Actinomyces johnsonii F0542,1321818
AWSF01000194.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000077.1,Actinomyces johnsonii F0542,1321818
AWSF01000195.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000078.1,Actinomyces johnsonii F0542,1321818
AWSF01000196.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000079.1,Actinomyces johnsonii F0542,1321818
AWSD01000001.1,Actinomyces johnsonii F0510,1227262
AWSF01000197.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSF01000198.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000080.1,Actinomyces johnsonii F0542,1321818
AWSD01000002.1,Actinomyces johnsonii F0510,1227262
AWSF01000199.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000081.1,Actinomyces johnsonii F0542,1321818
AWSD01000003.1,Actinomyces johnsonii F0510,1227262
AWSF01000200.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000082.1,Actinomyces johnsonii F0542,1321818
AWSD01000004.1,Actinomyces johnsonii F0510,1227262
AWSF01000201.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000083.1,Actinomyces johnsonii F0542,1321818
AWSD01000005.1,Actinomyces johnsonii F0510,1227262
AWSF01000202.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000084.1,Actinomyces johnsonii F0542,1321818
AWSD01000006.1,Actinomyces johnsonii F0510,1227262
AWSF01000203.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000085.1,Actinomyces johnsonii F0542,1321818
AWSD01000007.1,Actinomyces johnsonii F0510,1227262
AWSF01000204.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000086.1,Actinomyces johnsonii F0542,1321818
AWSD01000008.1,Actinomyces johnsonii F0510,1227262
AWSF01000205.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000087.1,Actinomyces johnsonii F0542,1321818
AWSD01000009.1,Actinomyces johnsonii F0510,1227262
AWSF01000206.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000088.1,Actinomyces johnsonii F0542,1321818
AWSD01000010.1,Actinomyces johnsonii F0510,1227262
AWSF01000207.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000089.1,Actinomyces johnsonii F0542,1321818
AWSD01000011.1,Actinomyces johnsonii F0510,1227262
AWSF01000208.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000090.1,Actinomyces johnsonii F0542,1321818
AWSD01000012.1,Actinomyces johnsonii F0510,1227262
AWSF01000209.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000091.1,Actinomyces johnsonii F0542,1321818
AWSD01000013.1,Actinomyces johnsonii F0510,1227262
AWSF01000210.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000092.1,Actinomyces johnsonii F0542,1321818
AWSD01000014.1,Actinomyces johnsonii F0510,1227262
AWSF01000211.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000093.1,Actinomyces johnsonii F0542,1321818
AWSD01000015.1,Actinomyces johnsonii F0510,1227262
AWSF01000212.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000094.1,Actinomyces johnsonii F0542,1321818
AWSD01000016.1,Actinomyces johnsonii F0510,1227262
AWSF01000213.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000095.1,Actinomyces johnsonii F0542,1321818
AWSD01000017.1,Actinomyces johnsonii F0510,1227262
AWSF01000214.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000096.1,Actinomyces johnsonii F0542,1321818
AWSD01000018.1,Actinomyces johnsonii F0510,1227262
AWSF01000215.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000097.1,Actinomyces johnsonii F0542,1321818
AWSD01000019.1,Actinomyces johnsonii F0510,1227262
AWSF01000216.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000020.1,Actinomyces johnsonii F0510,1227262
AWSE01000098.1,Actinomyces johnsonii F0542,1321818
AWSF01000217.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000021.1,Actinomyces johnsonii F0510,1227262
AWSE01000099.1,Actinomyces johnsonii F0542,1321818
AWSF01000218.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000022.1,Actinomyces johnsonii F0510,1227262
AWSE01000100.1,Actinomyces johnsonii F0542,1321818
AWSF01000219.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000023.1,Actinomyces johnsonii F0510,1227262
AWSE01000101.1,Actinomyces johnsonii F0542,1321818
AWSF01000220.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000024.1,Actinomyces johnsonii F0510,1227262
AWSE01000102.1,Actinomyces johnsonii F0542,1321818
AWSF01000221.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000025.1,Actinomyces johnsonii F0510,1227262
AWSE01000103.1,Actinomyces johnsonii F0542,1321818
AWSF01000222.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000026.1,Actinomyces johnsonii F0510,1227262
AWSE01000104.1,Actinomyces johnsonii F0542,1321818
AWSF01000223.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000027.1,Actinomyces johnsonii F0510,1227262
AWSE01000105.1,Actinomyces johnsonii F0542,1321818
AWSF01000224.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000028.1,Actinomyces johnsonii F0510,1227262
AWSE01000106.1,Actinomyces johnsonii F0542,1321818
AWSF01000225.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000029.1,Actinomyces johnsonii F0510,1227262
AWSE01000107.1,Actinomyces johnsonii F0542,1321818
AWSF01000226.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000030.1,Actinomyces johnsonii F0510,1227262
AWSF01000227.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000108.1,Actinomyces johnsonii F0542,1321818
AWSD01000031.1,Actinomyces johnsonii F0510,1227262
AWSF01000228.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000109.1,Actinomyces johnsonii F0542,1321818
AWSD01000032.1,Actinomyces johnsonii F0510,1227262
AWSF01000229.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000110.1,Actinomyces johnsonii F0542,1321818
AWSD01000033.1,Actinomyces johnsonii F0510,1227262
AWSF01000230.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSF01000231.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000111.1,Actinomyces johnsonii F0542,1321818
AWSD01000034.1,Actinomyces johnsonii F0510,1227262
AWSE01000112.1,Actinomyces johnsonii F0542,1321818
AWSE01000113.1,Actinomyces johnsonii F0542,1321818
AWSE01000114.1,Actinomyces johnsonii F0542,1321818
AWSE01000115.1,Actinomyces johnsonii F0542,1321818
AWSE01000116.1,Actinomyces johnsonii F0542,1321818
AWSE01000117.1,Actinomyces johnsonii F0542,1321818
AWSE01000118.1,Actinomyces johnsonii F0542,1321818
AWSE01000119.1,Actinomyces johnsonii F0542,1321818
AWSE01000120.1,Actinomyces johnsonii F0542,1321818
AWSE01000121.1,Actinomyces johnsonii F0542,1321818
AWSE01000122.1,Actinomyces johnsonii F0542,1321818
AWSE01000123.1,Actinomyces johnsonii F0542,1321818
AWSE01000124.1,Actinomyces johnsonii F0542,1321818
AWSE01000125.1,Actinomyces johnsonii F0542,1321818
AWSE01000126.1,Actinomyces johnsonii F0542,1321818
AWSE01000127.1,Actinomyces johnsonii F0542,1321818
AWSE01000128.1,Actinomyces johnsonii F0542,1321818
AWSE01000129.1,Actinomyces johnsonii F0542,1321818
AWSE01000130.1,Actinomyces johnsonii F0542,1321818
AWSE01000131.1,Actinomyces johnsonii F0542,1321818
AWSE01000132.1,Actinomyces johnsonii F0542,1321818
AWSE01000133.1,Actinomyces johnsonii F0542,1321818
AWSE01000134.1,Actinomyces johnsonii F0542,1321818
AWSE01000135.1,Actinomyces johnsonii F0542,1321818
AWSE01000136.1,Actinomyces johnsonii F0542,1321818
AWSE01000137.1,Actinomyces johnsonii F0542,1321818
AWSE01000138.1,Actinomyces johnsonii F0542,1321818
AWSE01000139.1,Actinomyces johnsonii F0542,1321818
AWSE01000140.1,Actinomyces johnsonii F0542,1321818
AWSE01000141.1,Actinomyces johnsonii F0542,1321818
AWSE01000142.1,Actinomyces johnsonii F0542,1321818
AWSE01000143.1,Actinomyces johnsonii F0542,1321818
AWSE01000144.1,Actinomyces johnsonii F0542,1321818
AWSE01000145.1,Actinomyces johnsonii F0542,1321818
AWSE01000146.1,Actinomyces johnsonii F0542,1321818
AWSE01000147.1,Actinomyces johnsonii F0542,1321818
AWSE01000148.1,Actinomyces johnsonii F0542,1321818
AWSE01000149.1,Actinomyces johnsonii F0542,1321818
AWSE01000150.1,Actinomyces johnsonii F0542,1321818
AWSE01000151.1,Actinomyces johnsonii F0542,1321818
AWSE01000152.1,Actinomyces johnsonii F0542,1321818
AWSE01000153.1,Actinomyces johnsonii F0542,1321818
AWSE01000154.1,Actinomyces johnsonii F0542,1321818
AWSE01000155.1,Actinomyces johnsonii F0542,1321818
AWSE01000156.1,Actinomyces johnsonii F0542,1321818
AWSE01000157.1,Actinomyces johnsonii F0542,1321818
AWSE01000158.1,Actinomyces johnsonii F0542,1321818
AWSE01000159.1,Actinomyces johnsonii F0542,1321818
AWSE01000160.1,Actinomyces johnsonii F0542,1321818
AWSE01000161.1,Actinomyces johnsonii F0542,1321818
AWSE01000162.1,Actinomyces johnsonii F0542,1321818
AWSE01000163.1,Actinomyces johnsonii F0542,1321818
AWSE01000164.1,Actinomyces johnsonii F0542,1321818
AWSE01000165.1,Actinomyces johnsonii F0542,1321818
AWSE01000166.1,Actinomyces johnsonii F0542,1321818
AWSE01000167.1,Actinomyces johnsonii F0542,1321818
AWSE01000168.1,Actinomyces johnsonii F0542,1321818
AWSE01000169.1,Actinomyces johnsonii F0542,1321818
AWSE01000170.1,Actinomyces johnsonii F0542,1321818
AWSE01000171.1,Actinomyces johnsonii F0542,1321818
AWSE01000172.1,Actinomyces johnsonii F0542,1321818
AWSE01000173.1,Actinomyces johnsonii F0542,1321818
AWSE01000174.1,Actinomyces johnsonii F0542,1321818
AWSE01000175.1,Actinomyces johnsonii F0542,1321818
AWSE01000176.1,Actinomyces johnsonii F0542,1321818
AWSE01000177.1,Actinomyces johnsonii F0542,1321818
AWSE01000178.1,Actinomyces johnsonii F0542,1321818
AWSE01000179.1,Actinomyces johnsonii F0542,1321818
AWSE01000180.1,Actinomyces johnsonii F0542,1321818
AWSE01000181.1,Actinomyces johnsonii F0542,1321818
AWSE01000182.1,Actinomyces johnsonii F0542,1321818
AWSE01000183.1,Actinomyces johnsonii F0542,1321818
AWSE01000184.1,Actinomyces johnsonii F0542,1321818
AWSE01000185.1,Actinomyces johnsonii F0542,1321818
AWSE01000186.1,Actinomyces johnsonii F0542,1321818
AWSE01000187.1,Actinomyces johnsonii F0542,1321818
AWSE01000188.1,Actinomyces johnsonii F0542,1321818
AWSE01000189.1,Actinomyces johnsonii F0542,1321818
AWSE01000190.1,Actinomyces johnsonii F0542,1321818
AWSE01000191.1,Actinomyces johnsonii F0542,1321818
AWSE01000192.1,Actinomyces johnsonii F0542,1321818
AWSE01000193.1,Actinomyces johnsonii F0542,1321818
AWSE01000194.1,Actinomyces johnsonii F0542,1321818
AWSE01000195.1,Actinomyces johnsonii F0542,1321818
AWSE01000196.1,Actinomyces johnsonii F0542,1321818
AWSE01000197.1,Actinomyces johnsonii F0542,1321818
AWSE01000198.1,Actinomyces johnsonii F0542,1321818
AWSE01000199.1,Actinomyces johnsonii F0542,1321818
AWSE01000200.1,Actinomyces johnsonii F0542,1321818
AWSE01000201.1,Actinomyces johnsonii F0542,1321818
AWSE01000202.1,Actinomyces johnsonii F0542,1321818
AWSE01000203.1,Actinomyces johnsonii F0542,1321818
AWSE01000204.1,Actinomyces johnsonii F0542,1321818
AWSE01000205.1,Actinomyces johnsonii F0542,1321818
AWSE01000206.1,Actinomyces johnsonii F0542,1321818
AWSE01000207.1,Actinomyces johnsonii F0542,1321818
AWSE01000208.1,Actinomyces johnsonii F0542,1321818
AWSE01000209.1,Actinomyces johnsonii F0542,1321818
AWSE01000210.1,Actinomyces johnsonii F0542,1321818
AWSE01000211.1,Actinomyces johnsonii F0542,1321818
AWSE01000212.1,Actinomyces johnsonii F0542,1321818
AWSE01000213.1,Actinomyces johnsonii F0542,1321818
AWSE01000214.1,Actinomyces johnsonii F0542,1321818
AWSE01000215.1,Actinomyces johnsonii F0542,1321818
AWSE01000216.1,Actinomyces johnsonii F0542,1321818
AWSE01000217.1,Actinomyces johnsonii F0542,1321818
AWSE01000218.1,Actinomyces johnsonii F0542,1321818
AWSE01000219.1,Actinomyces johnsonii F0542,1321818
AWSE01000220.1,Actinomyces johnsonii F0542,1321818
AWSE01000221.1,Actinomyces johnsonii F0542,1321818
AWSE01000222.1,Actinomyces johnsonii F0542,1321818
AWSE01000223.1,Actinomyces johnsonii F0542,1321818
AWSE01000224.1,Actinomyces johnsonii F0542,1321818
AWSE01000225.1,Actinomyces johnsonii F0542,1321818
AWSE01000226.1,Actinomyces johnsonii F0542,1321818
AWSE01000227.1,Actinomyces johnsonii F0542,1321818
AWSE01000228.1,Actinomyces johnsonii F0542,1321818
AWSE01000229.1,Actinomyces johnsonii F0542,1321818
AWSF01000232.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000035.1,Actinomyces johnsonii F0510,1227262
AWSE01000230.1,Actinomyces johnsonii F0542,1321818
AWSF01000233.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000036.1,Actinomyces johnsonii F0510,1227262
AWSE01000231.1,Actinomyces johnsonii F0542,1321818
AWSF01000234.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000037.1,Actinomyces johnsonii F0510,1227262
AWSE01000232.1,Actinomyces johnsonii F0542,1321818
AWSF01000235.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000038.1,Actinomyces johnsonii F0510,1227262
AWSE01000233.1,Actinomyces johnsonii F0542,1321818
AWSF01000236.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000039.1,Actinomyces johnsonii F0510,1227262
AWSE01000234.1,Actinomyces johnsonii F0542,1321818
AWSF01000237.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000040.1,Actinomyces johnsonii F0510,1227262
AWSE01000235.1,Actinomyces johnsonii F0542,1321818
AWSF01000238.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000041.1,Actinomyces johnsonii F0510,1227262
AWSE01000236.1,Actinomyces johnsonii F0542,1321818
AWSF01000239.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000042.1,Actinomyces johnsonii F0510,1227262
AWSE01000237.1,Actinomyces johnsonii F0542,1321818
AWSF01000240.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000043.1,Actinomyces johnsonii F0510,1227262
AWSE01000238.1,Actinomyces johnsonii F0542,1321818
AWSF01000241.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000044.1,Actinomyces johnsonii F0510,1227262
AWSE01000239.1,Actinomyces johnsonii F0542,1321818
AWSF01000242.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000045.1,Actinomyces johnsonii F0510,1227262
AWSE01000240.1,Actinomyces johnsonii F0542,1321818
AWSF01000243.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000046.1,Actinomyces johnsonii F0510,1227262
AWSE01000241.1,Actinomyces johnsonii F0542,1321818
AWSF01000244.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000047.1,Actinomyces johnsonii F0510,1227262
AWSE01000242.1,Actinomyces johnsonii F0542,1321818
AWSF01000245.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000048.1,Actinomyces johnsonii F0510,1227262
AWSE01000243.1,Actinomyces johnsonii F0542,1321818
AWSF01000246.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000049.1,Actinomyces johnsonii F0510,1227262
AWSE01000244.1,Actinomyces johnsonii F0542,1321818
AWSF01000247.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000050.1,Actinomyces johnsonii F0510,1227262
AWSE01000245.1,Actinomyces johnsonii F0542,1321818
AWSF01000248.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000051.1,Actinomyces johnsonii F0510,1227262
AWSE01000246.1,Actinomyces johnsonii F0542,1321818
AWSF01000249.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000052.1,Actinomyces johnsonii F0510,1227262
AWSE01000247.1,Actinomyces johnsonii F0542,1321818
AWSF01000250.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000053.1,Actinomyces johnsonii F0510,1227262
AWSE01000248.1,Actinomyces johnsonii F0542,1321818
AWSF01000251.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000054.1,Actinomyces johnsonii F0510,1227262
AWSE01000249.1,Actinomyces johnsonii F0542,1321818
AWSF01000252.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000055.1,Actinomyces johnsonii F0510,1227262
AWSE01000250.1,Actinomyces johnsonii F0542,1321818
AWSF01000253.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000251.1,Actinomyces johnsonii F0542,1321818
AWSF01000254.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000057.1,Actinomyces johnsonii F0510,1227262
AWSE01000252.1,Actinomyces johnsonii F0542,1321818
AWSF01000255.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000058.1,Actinomyces johnsonii F0510,1227262
AWSE01000253.1,Actinomyces johnsonii F0542,1321818
AWSF01000256.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000059.1,Actinomyces johnsonii F0510,1227262
AWSE01000254.1,Actinomyces johnsonii F0542,1321818
AWSF01000257.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000060.1,Actinomyces johnsonii F0510,1227262
AWSE01000255.1,Actinomyces johnsonii F0542,1321818
AWSF01000258.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000061.1,Actinomyces johnsonii F0510,1227262
AWSE01000256.1,Actinomyces johnsonii F0542,1321818
AWSF01000259.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000062.1,Actinomyces johnsonii F0510,1227262
AWSE01000257.1,Actinomyces johnsonii F0542,1321818
AWSF01000260.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000063.1,Actinomyces johnsonii F0510,1227262
AWSE01000258.1,Actinomyces johnsonii F0542,1321818
AWSF01000261.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000064.1,Actinomyces johnsonii F0510,1227262
AWSF01000262.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000259.1,Actinomyces johnsonii F0542,1321818
AWSD01000065.1,Actinomyces johnsonii F0510,1227262
AWSF01000263.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000260.1,Actinomyces johnsonii F0542,1321818
AWSD01000066.1,Actinomyces johnsonii F0510,1227262
AWSF01000264.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000261.1,Actinomyces johnsonii F0542,1321818
AWSD01000067.1,Actinomyces johnsonii F0510,1227262
AWSF01000265.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000262.1,Actinomyces johnsonii F0542,1321818
AWSD01000068.1,Actinomyces johnsonii F0510,1227262
AWSF01000266.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000263.1,Actinomyces johnsonii F0542,1321818
AWSD01000069.1,Actinomyces johnsonii F0510,1227262
AWSF01000267.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000264.1,Actinomyces johnsonii F0542,1321818
AWSD01000070.1,Actinomyces johnsonii F0510,1227262
AWSF01000268.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000265.1,Actinomyces johnsonii F0542,1321818
AWSF01000269.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000071.1,Actinomyces johnsonii F0510,1227262
AWSE01000266.1,Actinomyces johnsonii F0542,1321818
AWSF01000270.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000072.1,Actinomyces johnsonii F0510,1227262
AWSE01000267.1,Actinomyces johnsonii F0542,1321818
AWSF01000271.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000073.1,Actinomyces johnsonii F0510,1227262
AWSE01000268.1,Actinomyces johnsonii F0542,1321818
AWSF01000272.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000074.1,Actinomyces johnsonii F0510,1227262
AWSE01000269.1,Actinomyces johnsonii F0542,1321818
AWSF01000273.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000075.1,Actinomyces johnsonii F0510,1227262
AWSE01000270.1,Actinomyces johnsonii F0542,1321818
AWSF01000274.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSD01000076.1,Actinomyces johnsonii F0510,1227262
AWSE01000271.1,Actinomyces johnsonii F0542,1321818
AWSD01000077.1,Actinomyces johnsonii F0510,1227262
AWSF01000275.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000272.1,Actinomyces johnsonii F0542,1321818
AWSD01000078.1,Actinomyces johnsonii F0510,1227262
AWSF01000276.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000273.1,Actinomyces johnsonii F0542,1321818
AWSD01000079.1,Actinomyces johnsonii F0510,1227262
AWSF01000277.1,Actinomyces sp. oral taxon 172 str. F0311,1321775
AWSE01000274.1,Actinomyces johnsonii F0542,1321818
AWSD01000080.1,Actinomyces johnsonii F0510,1227262
